filing_date,negative,positive,words,sentiment,sentiment.ratio,positive.ratio,negative.ratio,Year,TICKER
2019-02-05T00:00:00Z,1838,2302,106320,464,0.004364184,0.021651618,0.017287434,2019,ARE
2012-02-17T00:00:00Z,1370,1431,61147,61,0.000997596,0.02340262,0.022405024,2012,ALXN
2013-02-19T00:00:00Z,1451,1486,65388,35,0.000535266,0.022725882,0.022190616,2013,ALXN
2014-02-10T00:00:00Z,1562,1731,72871,169,0.002319167,0.023754306,0.021435139,2014,ALXN
2015-02-06T00:00:00Z,1659,1778,78674,119,0.001512571,0.022599588,0.021087017,2015,ALXN
2016-02-08T00:00:00Z,1542,1715,76851,173,0.002251109,0.02231591,0.020064801,2016,ALXN
2017-02-16T00:00:00Z,1614,1769,78305,155,0.001979439,0.02259115,0.020611711,2017,ALXN
2018-02-08T00:00:00Z,1558,1871,80907,313,0.003868639,0.023125317,0.019256677,2018,ALXN
2019-02-06T00:00:00Z,1768,2170,91466,402,0.004395076,0.023724663,0.019329587,2019,ALXN
2010-02-26T00:00:00Z,842,1064,50049,222,0.004435653,0.021259166,0.016823513,2010,ALGN
2011-02-24T00:00:00Z,883,1050,47842,167,0.003490657,0.021947243,0.018456586,2011,ALGN
2012-02-29T00:00:00Z,875,1124,51584,249,0.004827078,0.021789702,0.016962624,2012,ALGN
2013-03-01T00:00:00Z,903,1285,54328,382,0.007031365,0.023652628,0.016621263,2013,ALGN
2014-02-28T00:00:00Z,936,1370,56139,434,0.007730811,0.024403712,0.016672901,2014,ALGN
2015-02-26T00:00:00Z,895,1378,58512,483,0.008254717,0.023550725,0.015296008,2015,ALGN
2016-02-25T00:00:00Z,864,1198,52410,334,0.00637283,0.022858233,0.016485404,2016,ALGN
2017-02-28T00:00:00Z,910,1242,52892,332,0.006276942,0.023481812,0.01720487,2017,ALGN
2018-02-28T00:00:00Z,923,1293,54356,370,0.006806976,0.023787622,0.016980646,2018,ALGN
2019-02-28T00:00:00Z,1020,1336,55818,316,0.005661256,0.023934931,0.018273675,2019,ALGN
2014-03-10T00:00:00Z,736,1475,54419,739,0.013579816,0.027104504,0.013524688,2014,ALLE
2015-02-27T00:00:00Z,766,1375,53299,609,0.011426106,0.025797857,0.014371752,2015,ALLE
2016-02-26T00:00:00Z,733,1318,51102,585,0.011447693,0.025791554,0.014343861,2016,ALLE
2017-02-17T00:00:00Z,756,1329,51608,573,0.01110293,0.025751821,0.014648892,2017,ALLE
2018-02-20T00:00:00Z,699,1342,49910,643,0.01288319,0.026888399,0.014005209,2018,ALLE
2019-02-19T00:00:00Z,696,1425,52210,729,0.013962842,0.027293622,0.01333078,2019,ALLE
2014-02-25T00:00:00Z,1747,2178,110669,431,0.003894496,0.019680308,0.015785812,2014,AGN
2015-02-18T00:00:00Z,2481,2688,144605,207,0.001431486,0.018588569,0.017157083,2015,AGN
2016-02-26T00:00:00Z,2550,2806,141116,256,0.00181411,0.01988435,0.01807024,2016,AGN
2017-02-24T00:00:00Z,2262,2526,130591,264,0.002021579,0.019342834,0.017321255,2017,AGN
2018-02-16T00:00:00Z,2502,2681,135179,179,0.00132417,0.019832962,0.018508792,2018,AGN
2019-02-15T00:00:00Z,2041,2237,108903,196,0.001799767,0.020541216,0.018741449,2019,AGN
2010-03-01T00:00:00Z,819,1705,68218,886,0.012987774,0.024993404,0.012005629,2010,ADS
2011-02-28T00:00:00Z,979,1795,73949,816,0.011034632,0.024273486,0.013238854,2011,ADS
2012-02-27T00:00:00Z,903,1721,71218,818,0.01148586,0.024165239,0.012679379,2012,ADS
2013-02-28T00:00:00Z,868,1616,66748,748,0.011206328,0.024210463,0.013004135,2013,ADS
2014-02-28T00:00:00Z,825,1558,63429,733,0.011556228,0.024562897,0.013006669,2014,ADS
2015-02-27T00:00:00Z,860,1481,62189,621,0.009985689,0.023814501,0.013828812,2015,ADS
2016-02-25T00:00:00Z,863,1494,62885,631,0.010034189,0.023757653,0.013723463,2016,ADS
2017-02-27T00:00:00Z,915,1640,66284,725,0.010937783,0.024742019,0.013804236,2017,ADS
2018-02-27T00:00:00Z,861,1515,61958,654,0.010555538,0.024452048,0.013896511,2018,ADS
2019-02-26T00:00:00Z,926,1540,63212,614,0.009713346,0.024362463,0.014649117,2019,ADS
2010-02-26T00:00:00Z,1440,2338,119500,898,0.007514644,0.019564854,0.012050209,2010,LNT
2011-02-28T00:00:00Z,1460,2359,127632,899,0.007043688,0.018482826,0.011439138,2011,LNT
2012-02-27T00:00:00Z,1462,2425,132955,963,0.007243052,0.018239254,0.010996202,2012,LNT
2013-02-26T00:00:00Z,1186,2258,119933,1072,0.008938324,0.018827179,0.009888855,2013,LNT
2014-02-25T00:00:00Z,1078,2004,109460,926,0.008459711,0.018308058,0.009848346,2014,LNT
2015-02-25T00:00:00Z,1061,1804,101327,743,0.007332695,0.017803744,0.010471049,2015,LNT
2016-02-24T00:00:00Z,1019,1670,94188,651,0.006911708,0.017730496,0.010818788,2016,LNT
2017-02-24T00:00:00Z,908,1495,80709,587,0.007273043,0.018523337,0.011250294,2017,LNT
2018-02-23T00:00:00Z,828,1473,75025,645,0.008597134,0.019633456,0.011036321,2018,LNT
2019-02-22T00:00:00Z,746,1229,64110,483,0.007533926,0.019170176,0.01163625,2019,LNT
2010-02-25T00:00:00Z,3619,3065,127160,-554,-0.004356716,0.024103492,0.028460208,2010,ALL
2011-02-24T00:00:00Z,3747,3216,129117,-531,-0.004112549,0.024907642,0.029020191,2011,ALL
2012-02-22T00:00:00Z,3378,3062,122830,-316,-0.002572661,0.024928763,0.027501425,2012,ALL
2013-02-20T00:00:00Z,3185,2946,118419,-239,-0.002018257,0.024877765,0.026896022,2013,ALL
2014-02-20T00:00:00Z,3296,3074,124149,-222,-0.001788174,0.02476057,0.026548744,2014,ALL
2015-02-19T00:00:00Z,3329,3120,125810,-209,-0.001661235,0.024799301,0.026460536,2015,ALL
2016-02-19T00:00:00Z,3461,3150,129005,-311,-0.002410759,0.024417658,0.026828418,2016,ALL
2017-02-17T00:00:00Z,3763,3334,139407,-429,-0.00307732,0.023915585,0.026992906,2017,ALL
2018-02-26T00:00:00Z,3565,3246,134742,-319,-0.002367487,0.024090484,0.026457972,2018,ALL
2019-02-15T00:00:00Z,3655,3403,137409,-252,-0.001833941,0.024765481,0.026599422,2019,ALL
2016-02-11T00:00:00Z,910,1130,57192,220,0.003846692,0.019758008,0.015911316,2016,GOOGL
2017-02-03T00:00:00Z,821,1004,48691,183,0.003758395,0.020619827,0.016861432,2017,GOOGL
2018-02-06T00:00:00Z,843,1035,49168,192,0.003904979,0.021050277,0.017145298,2018,GOOGL
2019-02-05T00:00:00Z,897,1061,49066,164,0.003342437,0.021623935,0.018281498,2019,GOOGL
2016-02-11T00:00:00Z,910,1130,57192,220,0.003846692,0.019758008,0.015911316,2016,GOOG
2017-02-03T00:00:00Z,821,1004,48691,183,0.003758395,0.020619827,0.016861432,2017,GOOG
2018-02-06T00:00:00Z,843,1035,49168,192,0.003904979,0.021050277,0.017145298,2018,GOOG
2019-02-05T00:00:00Z,897,1061,49066,164,0.003342437,0.021623935,0.018281498,2019,GOOG
2014-02-26T00:00:00Z,1363,1574,77940,211,0.002707211,0.020195022,0.017487811,2014,MO
2015-02-25T00:00:00Z,1400,1522,74993,122,0.001626819,0.020295228,0.018668409,2015,MO
2016-02-25T00:00:00Z,1567,1698,80888,131,0.001619523,0.020991989,0.019372466,2016,MO
2017-02-27T00:00:00Z,1631,1745,84008,114,0.001357014,0.020771831,0.019414818,2017,MO
2018-02-27T00:00:00Z,1461,1674,78050,213,0.00272902,0.02144779,0.01871877,2018,MO
2019-02-26T00:00:00Z,1039,1435,69925,396,0.005663211,0.020521988,0.014858777,2019,MO
2011-01-28T00:00:00Z,668,786,33187,118,0.003555609,0.023683973,0.020128364,2011,AMZN
2012-02-01T00:00:00Z,734,825,36294,91,0.002507301,0.02273103,0.020223728,2012,AMZN
2013-01-30T00:00:00Z,827,851,37766,24,0.000635492,0.022533496,0.021898003,2013,AMZN
2014-01-31T00:00:00Z,815,837,37278,22,0.00059016,0.022452921,0.021862761,2014,AMZN
2015-01-30T00:00:00Z,833,901,40031,68,0.001698684,0.022507557,0.020808873,2015,AMZN
2016-01-29T00:00:00Z,745,886,39359,141,0.003582408,0.022510735,0.018928326,2016,AMZN
2017-02-10T00:00:00Z,746,878,39441,132,0.003346771,0.022261099,0.018914328,2017,AMZN
2018-02-02T00:00:00Z,709,940,41657,231,0.005545287,0.022565235,0.017019949,2018,AMZN
2019-02-01T00:00:00Z,704,873,38890,169,0.00434559,0.02244793,0.01810234,2019,AMZN
2010-02-26T00:00:00Z,1746,2513,132977,767,0.005767915,0.018898005,0.01313009,2010,AEE
2011-02-24T00:00:00Z,1756,2347,126956,591,0.004655156,0.01848672,0.013831564,2011,AEE
2012-02-28T00:00:00Z,1760,2311,126095,551,0.004369721,0.018327452,0.01395773,2012,AEE
2013-03-01T00:00:00Z,1706,2434,125743,728,0.005789587,0.019356942,0.013567356,2013,AEE
2014-03-03T00:00:00Z,1622,2224,108290,602,0.005559147,0.020537446,0.014978299,2014,AEE
2015-03-02T00:00:00Z,1495,2024,100979,529,0.005238713,0.020043771,0.014805058,2015,AEE
2016-02-26T00:00:00Z,1409,1989,97077,580,0.005974639,0.02048889,0.014514252,2016,AEE
2017-02-28T00:00:00Z,1214,1875,93998,661,0.007032065,0.019947233,0.012915168,2017,AEE
2018-02-28T00:00:00Z,1284,1864,97550,580,0.005945669,0.01910815,0.013162481,2018,AEE
2019-02-26T00:00:00Z,1295,1907,98537,612,0.006210865,0.019353136,0.013142271,2019,AEE
2011-02-16T00:00:00Z,860,1186,58249,326,0.005596663,0.020360865,0.014764202,2011,AAL
2012-02-15T00:00:00Z,1160,2109,91781,949,0.010339831,0.022978612,0.012638781,2012,AAL
2013-02-20T00:00:00Z,1183,1549,77475,366,0.004724105,0.019993546,0.015269442,2013,AAL
2014-02-28T00:00:00Z,2019,3029,136851,1010,0.00738029,0.022133561,0.014753272,2014,AAL
2015-02-25T00:00:00Z,2112,3042,144256,930,0.006446872,0.021087511,0.014640639,2015,AAL
2016-02-24T00:00:00Z,1947,2879,137011,932,0.006802374,0.021012911,0.014210538,2016,AAL
2017-02-22T00:00:00Z,1377,2425,103195,1048,0.010155531,0.023499201,0.01334367,2017,AAL
2018-02-21T00:00:00Z,1311,2472,106723,1161,0.01087863,0.023162767,0.012284137,2018,AAL
2019-02-25T00:00:00Z,1293,2440,107509,1147,0.010668874,0.022695774,0.0120269,2019,AAL
2010-02-26T00:00:00Z,475,633,40953,158,0.003858081,0.015456743,0.011598662,2010,AEP
